Content ID,Content Type,Category,Reaction Type,Sentiment,Score,Datetime,,category,sum,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,like,positive,50,3/15/2021 12:17,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,love,positive,65,5/5/2021 16:26,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,love,positive,65,8/31/2020 0:21,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,heart,positive,60,6/16/2021 3:02,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,indifferent,neutral,20,7/7/2020 10:52,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,peeking,neutral,35,8/20/2020 7:59,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,love,positive,65,9/23/2020 11:15,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,like,positive,50,3/24/2021 5:56,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,hate,negative,5,12/7/2020 19:13,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,super love,positive,75,8/3/2020 16:41,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,positive,72,1/10/2021 15:36,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,scared,negative,15,9/20/2020 8:48,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,cherish,positive,70,7/20/2020 14:06,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,positive,72,10/24/2020 12:15,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,interested,positive,30,6/6/2021 1:27,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,heart,positive,60,12/25/2020 0:09,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,like,positive,50,6/14/2021 7:56,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,like,positive,50,6/5/2021 18:00,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,hate,negative,5,11/18/2020 23:37,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,interested,positive,30,5/9/2021 2:42,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,dislike,negative,10,5/11/2021 8:38,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,peeking,neutral,35,11/12/2020 8:00,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,heart,positive,60,6/21/2020 16:57,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,super love,positive,75,3/4/2021 23:58,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,want,positive,70,7/9/2020 16:47,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,hate,negative,5,8/1/2020 19:16,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,dislike,negative,10,11/23/2020 22:46,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,scared,negative,15,12/11/2020 14:08,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,dislike,negative,10,4/23/2021 23:41,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,want,positive,70,11/13/2020 0:33,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,interested,positive,30,6/9/2021 10:13,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,love,positive,65,10/29/2020 19:41,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,heart,positive,60,5/14/2021 12:47,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,disgust,negative,0,8/4/2020 5:40,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,positive,72,8/7/2020 4:09,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,positive,72,10/23/2020 21:19,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,positive,72,11/14/2020 23:53,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,worried,negative,12,8/4/2020 19:26,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,interested,positive,30,11/12/2020 4:54,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,worried,negative,12,4/3/2021 12:17,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,want,positive,70,9/27/2020 22:15,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,heart,positive,60,10/27/2020 5:45,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,scared,negative,15,10/15/2020 9:11,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,heart,positive,60,5/7/2021 9:16,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,hate,negative,5,9/16/2020 8:39,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,indifferent,neutral,20,10/29/2020 15:38,,,,,,,
01ab84dd-6364-4236-abbb-3f237db77180,video,food,scared,negative,15,5/24/2021 18:03,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,interested,positive,30,2/25/2021 20:02,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,hate,negative,5,5/2/2021 3:45,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,want,positive,70,1/28/2021 8:49,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,peeking,neutral,35,2/15/2021 13:06,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,dislike,negative,10,11/4/2020 21:25,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,love,positive,65,6/23/2020 22:12,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,cherish,positive,70,2/16/2021 4:01,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,interested,positive,30,1/3/2021 8:44,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,adore,positive,72,11/25/2020 12:45,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,like,positive,50,12/3/2020 16:47,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,like,positive,50,5/22/2021 21:03,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,cherish,positive,70,1/18/2021 13:39,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,indifferent,neutral,20,1/6/2021 0:35,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,adore,positive,72,5/14/2021 14:33,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,worried,negative,12,5/27/2021 15:21,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,peeking,neutral,35,7/21/2020 2:12,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,dislike,negative,10,5/26/2021 6:09,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,dislike,negative,10,2/25/2021 3:16,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,intrigued,positive,45,12/7/2020 22:50,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,indifferent,neutral,20,10/24/2020 14:06,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,peeking,neutral,35,9/1/2020 21:18,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,adore,positive,72,5/10/2021 22:07,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,cherish,positive,70,2/12/2021 16:37,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,positive,60,4/28/2021 15:22,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,intrigued,positive,45,1/24/2021 0:38,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,worried,negative,12,3/18/2021 1:53,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,negative,0,1/14/2021 7:21,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,positive,60,12/23/2020 4:11,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,hate,negative,5,5/21/2021 7:23,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,like,positive,50,3/28/2021 23:25,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,peeking,neutral,35,9/16/2020 7:33,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,indifferent,neutral,20,11/8/2020 10:53,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,positive,60,3/6/2021 5:23,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,negative,0,1/13/2021 23:35,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,want,positive,70,9/6/2020 22:35,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,positive,30,6/24/2020 9:31,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,hate,negative,5,2/7/2021 21:39,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,intrigued,positive,45,1/21/2021 18:28,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,dislike,negative,10,2/27/2021 0:21,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,worried,negative,12,8/22/2020 12:06,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,cherish,positive,70,8/3/2020 6:29,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,scared,negative,15,8/2/2020 6:20,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,want,positive,70,6/4/2021 4:57,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,super love,positive,75,10/21/2020 9:07,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,dislike,negative,10,12/26/2020 19:46,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,scared,negative,15,3/2/2021 22:47,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,indifferent,neutral,20,3/31/2021 9:48,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,positive,30,6/14/2021 13:44,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,scared,negative,15,12/27/2020 17:04,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,scared,negative,15,2/11/2021 3:51,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,positive,30,12/7/2020 19:07,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,positive,30,12/28/2020 8:31,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,positive,30,10/26/2020 5:27,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,worried,negative,12,9/26/2020 18:43,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,scared,negative,15,11/25/2020 13:01,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,positive,60,7/11/2020 5:51,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,positive,60,3/19/2021 16:23,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,positive,30,10/11/2020 18:31,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,positive,60,11/2/2020 20:15,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,want,positive,70,10/1/2020 3:35,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,negative,0,2/11/2021 20:10,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,want,positive,70,2/7/2021 15:59,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,hate,negative,5,10/17/2020 11:46,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,like,positive,50,8/9/2020 19:41,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,love,positive,65,2/1/2021 2:40,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,adore,positive,72,1/30/2021 9:36,,,,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,want,positive,70,3/31/2021 15:24,,,,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,super love,positive,75,2/5/2021 17:00,,,,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,heart,positive,60,2/19/2021 16:29,,,,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,worried,negative,12,7/25/2020 0:00,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,adore,positive,72,7/13/2020 2:38,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,indifferent,neutral,20,1/13/2021 13:11,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,worried,negative,12,1/2/2021 16:46,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,intrigued,positive,45,11/26/2020 2:25,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,want,positive,70,8/25/2020 19:18,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,hate,negative,5,2/1/2021 0:15,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,love,positive,65,6/4/2021 14:36,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,adore,positive,72,8/19/2020 13:38,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,cherish,positive,70,4/22/2021 2:08,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,super love,positive,75,6/26/2020 10:33,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,like,positive,50,8/15/2020 18:16,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,love,positive,65,11/26/2020 13:42,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,want,positive,70,4/14/2021 0:56,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,indifferent,neutral,20,7/21/2020 21:27,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,dislike,negative,10,3/29/2021 6:57,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,want,positive,70,5/20/2021 16:11,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,like,positive,50,11/2/2020 6:09,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,indifferent,neutral,20,10/24/2020 15:37,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,heart,positive,60,9/7/2020 14:42,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,negative,15,3/4/2021 2:46,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,adore,positive,72,1/7/2021 14:08,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,peeking,neutral,35,7/6/2020 11:18,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,like,positive,50,3/27/2021 4:56,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,intrigued,positive,45,11/21/2020 21:25,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,cherish,positive,70,8/22/2020 1:25,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,peeking,neutral,35,6/14/2021 11:45,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,worried,negative,12,7/15/2020 19:28,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,intrigued,positive,45,3/21/2021 14:39,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,super love,positive,75,4/7/2021 3:15,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,cherish,positive,70,4/24/2021 6:56,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,heart,positive,60,9/30/2020 14:05,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,heart,positive,60,7/19/2020 19:28,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,negative,15,1/21/2021 7:08,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,negative,15,1/31/2021 13:48,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,hate,negative,5,12/24/2020 3:24,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,disgust,negative,0,5/27/2021 1:44,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,disgust,negative,0,2/13/2021 4:14,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,adore,positive,72,7/14/2020 4:36,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,dislike,negative,10,7/15/2020 16:03,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,like,positive,50,10/8/2020 17:23,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,heart,positive,60,11/12/2020 23:55,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,want,positive,70,2/21/2021 5:01,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,intrigued,positive,45,7/9/2020 8:58,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,adore,positive,72,6/26/2020 23:45,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,worried,negative,12,11/20/2020 13:18,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,like,positive,50,5/29/2021 21:34,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,indifferent,neutral,20,2/22/2021 2:48,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,negative,15,1/7/2021 18:39,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,adore,positive,72,10/1/2020 15:10,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,hate,negative,5,11/21/2020 8:24,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,negative,15,4/15/2021 13:50,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,love,positive,65,6/30/2020 1:14,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,want,positive,70,12/1/2020 15:06,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,negative,15,11/7/2020 0:47,,,,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,super love,positive,75,6/30/2020 13:08,,,,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,heart,positive,60,8/4/2020 3:09,,,,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,intrigued,positive,45,7/28/2020 7:01,,,,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,super love,positive,75,10/25/2020 2:39,,,,,,,
